SerialNumber,Make,Model,ProcessorType,ProcessorSpeed,MainMemory,DiskSize
9871234,HP,Pavillion 500-210qe,Intel i5-4530,3,6.0 Gbytes,1.0 Tbytes
9871245,HP,Pavillion 500-210qe,Intel i5-4531,3,6.0 Gbytes,1.0 Tbytes
9871256,HP,Pavillion 500-210qe,Intel i5-4532,3,6.0 Gbytes,1.0 Tbytes
9871267,HP,Pavillion 500-210qe,Intel i5-4533,3,6.0 Gbytes,1.0 Tbytes
9871278,HP,Pavillion 500-210qe,Intel i5-4534,3,6.0 Gbytes,1.0 Tbytes
9871289,HP,Pavillion 500-210qe,Intel i5-4535,3,6.0 Gbytes,1.0 Tbytes
6541001,Dell,OptiPlex 9020,Intel i7-4770,3,8.0 Gbytes,1.0 Tbytes
6541002,Dell,OptiPlex 9021,Intel i7-4771,3,8.0 Gbytes,1.0 Tbytes
6541003,Dell,OptiPlex 9022,Intel i7-4772,3,8.0 Gbytes,1.0 Tbytes
6541004,Dell,OptiPlex 9023,Intel i7-4773,3,8.0 Gbytes,1.0 Tbytes
6541005,Dell,OptiPlex 9024,Intel i7-4774,3,8.0 Gbytes,1.0 Tbytes
6541006,Dell,OptiPlex 9025,Intel i7-4775,3,8.0 Gbytes,1.0 Tbytes
